tvdbId,seriesId,seasonNumber,episodeNumber,absoluteNumber,name,writers,directors,aired,runtime,year,finaleType,overview,image,productionCode,lastUpdated,contentRatings,remoteIds
4410602,194031,0,1,0,The Demo (Pilot),,,2012-04-17,13,2012,,,https://artworks.thetvdb.com/banners/episodes/194031/4410602.jpg,,2024-12-23 09:22:18,TV-14,
4410608,194031,0,2,0,Louise's Chalkboard,,,2012-04-17,,2012,,,https://artworks.thetvdb.com/banners/episodes/194031/4410608.jpg,,2024-12-23 09:22:40,TV-14,
7843220,194031,0,3,0,Bored,,,2020-07-17,1,2020,,"Stay home, stay safe episode posted on Twitter",,,2024-12-23 09:19:35,,
8191742,194031,0,4,0,The Cannibal Demo,,,2012-04-17,,2012,,,,,2024-12-23 09:23:05,,
8191743,194031,0,5,0,Pilot vs First Episode Comparison,,,2020-05-14,,2020,,,,,2024-12-23 09:20:40,,
8942152,194031,0,6,0,"Table Read from An Indecent Thanksgiving Proposal, Act One",,,,9,,season,"The cast does a table read of the first act of the episode ""An Indecent Thanksgiving Proposal"". Included as a special feature on disc two of season two.",,,2024-12-23 09:21:45,,
9189377,194031,0,7,0,My Butt Has a Fever,,,2022-05-06,6,2022,,"Theatrical Short. The kids sing ""My Butt Has a Fever"" at their school talent show, and a shocked Mr. Frond tries to quickly shut it down, he tries turning off the power switch and close the curtains but fails at both.",https://artworks.thetvdb.com/banners/v4/episode/9189377/screencap/6293acc5a65cf.jpg,,2026-02-21 00:00:57,,
9256222,194031,0,9,0,The Bob's Burgers Movie,Loren Bouchard|Jim Dauterive,Loren Bouchard,2022-05-25,102,2022,season,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",https://artworks.thetvdb.com/banners/v4/episode/9256222/screencap/62cdcf9bb088c.jpg,,2024-08-01 15:24:29,,IMDB:tt7466442|TheMovieDB.com:504827
9925605,194031,0,10,0,Live Table Read With Voice Acting Cast | PopFest | Entertainment Weekly,,,2016-11-07,5,2016,season,"Bob's Burgers' Kristen Schaal, John Roberts, Dan Mintz and the original cast give a live table read at PopFest.",,,2023-07-28 22:02:57,,
3381351,194031,1,1,1,Human Flesh,Loren Bouchard|Jim Dauterive,Anthony Chun,2011-01-09,22,2011,,A health inspector's visit coincides with Bob's efforts to bring in customers.,https://artworks.thetvdb.com/banners/v4/episode/3381351/screencap/60796dca6048e.jpg,1ASA01,2024-11-07 18:27:42,TV-14,IMDB:tt1645218|Fan Site:https://youtu.be/S75Ogn_x-lU
